
2017/01/08 16:19:46 Total host 262142
2017/01/08 16:19:53 NTP Server:   1.52.1.59 len 48
2017/01/08 16:19:54 NTP Server:   1.52.0.24 len 48
2017/01/08 16:19:54 NTP Server:   1.52.0.236 len 48
2017/01/08 16:19:54 NTP Server:   1.52.1.93 len 48
2017/01/08 16:19:55 NTP Server:   1.52.0.92 len 48
2017/01/08 16:19:55 NTP Server:   1.52.1.161 len 48
2017/01/08 16:19:59 NTP Server:   1.52.3.15 len 48
2017/01/08 16:19:59 NTP Server:   1.52.2.29 len 48
2017/01/08 16:19:59 NTP Server:   1.52.3.53 len 48
2017/01/08 16:19:59 NTP Server:   1.52.2.67 len 48
2017/01/08 16:20:02 NTP Server:   1.52.2.148 len 48
2017/01/08 16:20:02 NTP Server:   1.52.2.200 len 48
2017/01/08 16:20:04 NTP Server:   1.52.3.52 len 48
2017/01/08 16:20:13 NTP Server:   1.52.7.122 len 48
2017/01/08 16:20:13 NTP Server:   1.52.8.126 len 48
2017/01/08 16:20:16 NTP Server:   1.52.6.246 len 48
2017/01/08 16:20:19 NTP Server:   1.52.9.69 len 48
2017/01/08 16:20:19 NTP Server:   1.52.9.95 len 48
2017/01/08 16:20:37 NTP Server:   1.52.14.146 len 48
2017/01/08 16:20:42 NTP Server:   1.52.16.2 len 48
2017/01/08 16:20:48 NTP Server:   1.52.17.211 len 48
2017/01/08 16:20:53 NTP Server:   1.52.18.139 len 8
2017/01/08 16:20:53 NTP Server:   1.52.18.210 len 26552
2017/01/08 16:20:55 NTP Server:   1.52.20.11 len 48
2017/01/08 16:20:57 NTP Server:   1.52.20.123 len 48
2017/01/08 16:21:06 NTP Server:   1.52.23.55 len 48
2017/01/08 16:21:06 NTP Server:   1.52.20.168 len 48
2017/01/08 16:21:07 NTP Server:   1.52.23.23 len 48
2017/01/08 16:21:11 NTP Server:   1.52.23.231 len 48
2017/01/08 16:21:17 NTP Server:   1.52.27.89 len 48
2017/01/08 16:21:18 NTP Server:   1.52.27.64 len 48
2017/01/08 16:21:18 NTP Server:   1.52.27.46 len 48
2017/01/08 16:21:18 NTP Server:   1.52.27.7 len 48
2017/01/08 16:21:19 NTP Server:   1.52.27.99 len 48
2017/01/08 16:21:19 NTP Server:   1.52.27.79 len 48
2017/01/08 16:21:20 NTP Server:   1.52.27.169 len 48
2017/01/08 16:21:24 NTP Server:   1.52.29.24 len 48
2017/01/08 16:21:24 NTP Server:   1.52.29.254 len 48
2017/01/08 16:21:30 NTP Server:   1.52.29.226 len 48
2017/01/08 16:21:31 NTP Server:   1.52.30.79 len 48
2017/01/08 16:22:12 NTP Server:   1.52.41.164 len 48
2017/01/08 16:22:12 NTP Server:   1.52.40.48 len 48
2017/01/08 16:22:22 NTP Server:   1.52.45.78 len 48
2017/01/08 16:22:25 NTP Server:   1.52.45.204 len 48
2017/01/08 16:22:26 NTP Server:   1.52.46.84 len 48
2017/01/08 16:22:44 NTP Server:   1.52.51.43 len 48
2017/01/08 16:22:45 NTP Server:   1.52.51.201 len 48
2017/01/08 16:22:55 NTP Server:   1.52.54.146 len 48
2017/01/08 16:22:56 NTP Server:   1.52.55.104 len 808
2017/01/08 16:22:57 NTP Server:   1.52.55.195 len 48
2017/01/08 16:23:00 NTP Server:   1.52.56.157 len 48
2017/01/08 16:23:01 NTP Server:   1.52.56.137 len 48
2017/01/08 16:23:06 NTP Server:   1.52.58.222 len 48
2017/01/08 16:23:06 NTP Server:   1.52.58.49 len 48
2017/01/08 16:23:06 NTP Server:   1.52.58.107 len 48
2017/01/08 16:23:06 NTP Server:   1.52.58.132 len 48
2017/01/08 16:23:10 NTP Server:   1.52.59.154 len 48
2017/01/08 16:23:16 NTP Server:   1.52.61.70 len 48
2017/01/08 16:23:17 NTP Server:   1.52.61.108 len 48
2017/01/08 16:23:18 NTP Server:   1.52.61.254 len 48
2017/01/08 16:23:19 NTP Server:   1.52.61.255 len 48
2017/01/08 16:23:24 NTP Server:   1.52.63.82 len 48
2017/01/08 16:23:31 NTP Server:   1.52.66.45 len 48
2017/01/08 16:23:32 NTP Server:   1.52.65.228 len 2720
2017/01/08 16:23:32 NTP Server:   1.52.66.53 len 48
2017/01/08 16:23:33 NTP Server:   1.52.66.111 len 48
2017/01/08 16:23:33 NTP Server:   1.52.66.114 len 48
2017/01/08 16:23:36 NTP Server:   1.52.66.92 len 48
2017/01/08 16:23:37 NTP Server:   1.52.66.255 len 48
2017/01/08 16:23:38 NTP Server:   1.52.67.149 len 48
2017/01/08 16:23:39 NTP Server:   1.52.67.126 len 48
2017/01/08 16:24:05 NTP Server:   1.52.76.18 len 48
2017/01/08 16:24:06 NTP Server:   1.52.74.233 len 48
2017/01/08 16:24:07 NTP Server:   1.52.76.166 len 48
2017/01/08 16:24:15 NTP Server:   1.52.78.112 len 48
2017/01/08 16:24:20 NTP Server:   1.52.80.43 len 48
2017/01/08 16:24:21 NTP Server:   1.52.80.89 len 48
2017/01/08 16:24:21 NTP Server:   1.52.80.157 len 48
2017/01/08 16:24:22 NTP Server:   1.52.80.195 len 48
2017/01/08 16:24:23 NTP Server:   1.52.81.119 len 48
2017/01/08 16:24:24 NTP Server:   1.52.80.192 len 48
2017/01/08 16:24:25 NTP Server:   1.52.81.234 len 80
2017/01/08 16:24:25 NTP Server:   1.52.81.62 len 48
